RESOLUCIÓN Y FECHA,ENTIDAD,INCUMPLIMIENTO,TIPO DE SANCIÓN
"R-SIV-2015-12-IV-R        
22/04/2015","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Remisión  Tardía  de  la  información  financiera 
correspondiente al mes de mayo de dos mil catorce (2014), 
la cual debió ser enviada a más tardar el día dieciséis (16) 
del mes de junio de 2014. Esta información es la siguiente: 
(a) Matriz de Patrimonio y Garantía de Riesgo e Índice, (b) 
Tabla de Cuentas y Matriz del Cálculo Patrimonio Contable, 
(c) Tabla de Cuentas y Matriz del Cálculo de las Partidas de 
Ajustes, (d) Determinables y Cuantificables Contablemente, 
(e) Cálculo de Patrimonio y Garantía de Riesgo Primario 
(Nivel  I)  y  (f)  Activos  y  Operaciones  Contingentes 
Ponderados.  
▪  Remisión  Inexacta  de  la  Cartera  de  Inversión 
correspondiente al mes de mayo de dos mil catorce (2014) 
por presentar Códigos ISIN erróneos, ya que en la Cartera 
de Inversión remitida por el Puesto de Bolsa el Código ISIN 
DO2008738513 no corresponde con la descripción del TVD 
correspondiente conforme a las informaciones del depósito 
centralizado de valores.","Sanción Cualitativa  y 
Cuantitativa 
Amonestación Escrita 
RD$50,000.00"
"R-SIV-2015-24-IV-R        
07/12/2015","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Incumplimiento con la normativa del Mercado de Valores 
por difundir en la publicación realizada en fecha seis (6) de 
mayo de dos mil quince (2015) en la página web del diario 
de circulación nacional “Listín Diario” que la calificación","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2015-33-IV-S 
22/12/2015","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Remisión Inexacta del informe de Gobierno Corporativo 
correspondiente al año dos mil catorce (2014) remitida por 
la  entidad  mediante  comunicación  No.  39662  de  fecha 
quince (15) de junio de dos mil quince (2015), por no indicar 
la existencia de consejeros cruzados o vinculados.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2016-33-IV-R 
05/05/2016","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Remisión tardía de los estados financieros correspondientes 
al trimestre abril-junio de dos mil quince (2015), los cuales 
debieron ser suministrados a más tardar el veintinueve (29) 
de julio de dos mil quince (2015), conforme a lo establecido 
en  el  artículo  11  de  la  Modificación  a  la  Norma  que 
establece Disposiciones Generales sobre la Información que 
deben Remitir Periódicamente los emisores y Participantes 
del Mercado de Valores (R-CNV-2013-03-MV)","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2016-70-IV-S 
10/08/2016","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  No proporcionar a esta Superintendencia los documentos 
que  requirió  mediante  inspección  especial  de  fecha 
dieciocho (18) de  agosto de  dos  mil quince (2015), en 
relación al inversionista que consta en el numeral IV del 
Informe  de  Inspección  Especial  contenido  en  la 
Comunicación No. 33256 de fecha Dieciséis (16) de Octubre 
de dos mil quince (2015), notificado a ALPHA Sociedad de 
Valores, S.A., en fecha Dieciséis (16) de Octubre de dos mil 
quince (2015), a saber: (i) Documentos que soportan la 
procedencia de los fondos; y (ii) Tarjeta de firmas.","Sanción Cualitativa 
Amonestación Escrita"
"R-CNV-2016-50-IV 
13/12/2016","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  No realización del informe de perfil de inversionista sobre 
la evaluación efectuada a los inversionistas conforme a lo 
establecido en los artículos 8, literal b), y 9 de la Norma 
para  los  Intermediarios  de  Valores  que  establece 
disposiciones para su funcionamiento (R-CNV-2005-10-IV), 
así como los artículos 11, 15, literal c), y 22 de la Norma 
que regula la Prevención y Control de Lavado de Activos y","Sanción Cualitativa y 
Cuantitativa 
Amonestación Escrita 
RD$150,000.00"
"R-CNV-2017-23-IV-A 
04/07/2017","ALPHA SOCIEDAD DE 
VALORES, S.A.","▪  Difusión  de  publicidad  incompleta  a  través  de  correo 
electrónico,  por  no  hacer  constar  dentro  del  material 
promocional relativo a la emisión del Programa de Bonos 
Corporativos (SIVEM-098) de Alpha Sociedad de Valores, 
S.A. “la disponibilidad del prospecto de emisión y a que se 
mantendrá para consulta al menos en el domicilio social del 
emisor y sus sucursales, en las oficinas de los agentes de 
colocación contratados, la Superintendencia y en cualquier 
otro lugar que determine el emisor”","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2016-73-IV-R 
20/09/2016","ATLÁNTICO BBA VALORES, 
S.A.","▪  Remisión  inexacta  de  los  Estados  Financieros 
correspondientes al semestre enero-junio de dos mil quince 
(2015),  recibidos  por  la  Superintendencia  mediante 
comunicación  marcada  con  el  No.  41061  de  fecha 
veintinueve (29) de julio de dos mil quince (2015),  por 
verificarse los siguientes incumplimientos: (i) Presentar de 
manera comparada un Balance General, Estados de Cambio 
en el Patrimonio y Estado de Flujo de Efectivos al treinta y 
uno (31) de diciembre de dos mil catorce (2014) que no 
corresponde con el remitido por la entidad en los Estados 
Financieros Auditados del período dos mil catorce (2014), 
suministrado mediante comunicación No. 31883 de fecha 
diecinueve (19) de junio de dos mil quince (2015); (ii) Por 
no  incluir  en  la  nota  6  “Inversiones”  el  reporte  de 
inversiones conforme a la sección 4.4.6 “Inversiones” del 
Manual de Contabilidad y Plan de Cuentas; (iii) No realizar 
la revelación de las “tasas de intereses pasivas por tipo de 
instrumento” en la nota 11 “Pasivos Financieros” conforme 
a  lo  requerido  en  la  sección  4.4.11  del  Manual  de 
Contabilidad y Plan de Cuentas; (iv) No revelar en la nota 
16 “Patrimonio” los Índices de capital de riesgo (mantenido 
y requerido) conforme a lo establecido en la sección 4.4.16 
“Patrimonio”  del  Manual  de  Contabilidad  y  Plan  de 
Cuentas; y (v) Cálculo inexacto de la nota 19 “Posición en 
Moneda Extranjera”, por presentar diferencias en el cálculo 
proporcionado por la entidad en la comunicación marcada 
con el No. 41061 de fecha veintinueve (29) de julio de dos 
mil quince (2015) y el cálculo realizado por los técnicos de 
la Superintendencia","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2013-64-EV-R 
01/07/2013","BANCO DE AHORRO Y 
CRÉDITO 
ADOPEM, S.A.","▪  Remisión  de  información  inexacta  en  los  Estados 
Financieros correspondientes al 4to trimestre Septiembre-
Diciembre 2012. 
▪  Remisión  de  información  inexacta  en  los  Estados 
Financieros correspondiente al mes de enero del 2013.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-40-EV-S 
13/08/2014","BANCO MÚLTIPLE ADEMI, 
S.A.","▪  Remisión tardía del hecho relevante sobre el aumento de la 
calificación de riesgo del emisor Banco Múltiple Ademi, S. 
A. y de la emisión No. SIVEM-076 de Bonos Corporativos 
por  DOP1,000MM  según  la  nota  de  prensa  de  Fitch 
Ratings correspondiente al cuatro (04) de junio del dos mil 
catorce (2014).","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2015-13-EV-S 
07/05/2015","BANCO MÚLTIPLE ADEMI, 
S.A.","▪  Remisión  inexacta  de  los  Estados  Financieros 
correspondientes  al  trimestre  Julio–Septiembre  de  año 
2014, por: i)Presentar el estado de resultado y el estado de 
flujo de efectivo, acumulado de enero-junio 2014 debiendo 
ser enero-septiembre 2014; ii) Inconsistencia en el estado de 
flujo  de  efectivo  por  la  sumatoria  de  las  partidas  que 
conforman el efectivo neto (a usar) provisto de actividades 
de inversión y iii) Presentar en el estado de flujo de efectivo, 
la cuenta ""Efectivo por actividades de operación"" debiendo 
ser ""Efectivo por actividades de inversión"".","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2016-52-EV-S 
10/08/2016","BANCO MÚLTIPLE CARIBE 
INTERNACIONAL, S.A.","▪  No publicación en la página web del Banco Múltiple Caribe, 
S.A.,  del  hecho  relevante  sobre  la  ratificación  de  la","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-38-AE-R 
12/08/2014","BAKER TILLY REPÚBLICA 
DOMINICANA, S.R.L.","▪  No  remisión  de  los  Estados  Financieros  semestrales 
correspondientes  al período  julio-diciembre de dos mil 
trece  (2013)  comparados  con  el  semestre  anterior 
correspondiente  al  periodo  enero-junio  dos  mil  trece 
(2013).","Sanción Cuantitativa 
RD$50,000.00"
"R-SIV-2014-46-AE-R 
23/09/2014","BAKER TILLY REPÚBLICA 
DOMINICANA, S.R.L.","▪  No remisión a la Superintendencia de Valores, dentro de 
los noventa (90) días hábiles posteriores a la fecha de 
cierre  del  ejercicio  anual  (venciendo  el  plazo  para  la 
remisión el catorce 14 del mes de mayo del año dos mil 
catorce  2014),  de  las  informaciones  requeridas  por  el 
artículo  38  de  la  Norma  que  establece  Disposiciones 
Generales  sobre  la  Información  que  deben  Remitir 
Periódicamente los Emisores y Participantes del Mercado 
de Valores”, emitida por el Consejo Nacional de Valores 
mediante la Tercera Resolución (R-CNV-2013-03-MV), de 
fecha veinticinco (25) del mes de enero del año dos mil trece 
(2013). Esos documentos son los siguientes: a) Lista de 
socios actualizada con sus respectivas participaciones en 
montos,  porcentajes  y  votos,  certificada,  sellada  y 
registrada en el Registro Mercantil a cargo de la Cámara 
de  Comercio  correspondiente;  b)  Acta  de  Asamblea 
General  Ordinaria  de  socios  del  año  dos  mil  catorce 
(2014), que conoce los Estados Financieros auditados del 
año dos mil trece (2013), certificada, sellada y registrada 
en el Registro Mercantil a cargo de la Cámara de Comercio 
correspondiente; c) Estados Financieros auditados para el 
período dos mil trece – dos mil doce (2013-2012) y el 
informe de los auditores en papel timbrado, incluyendo 
Registro Nacional de Contribuyentes (RNC) y sello de la 
sociedad; d) Nombre y dirección de las empresas a las que","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-58-AE-R 
23/12/2014","BAKER TILLY REPÚBLICA 
DOMINICANA, S.R.L.","▪  Remisión Tardía de los Estados Financieros semestrales 
correspondientes al período enero-junio del año dos mil 
catorce  (2014),  comparados  con  el  semestre  anterior 
correspondiente al período julio diciembre del año dos mil 
trece (2013), en el plazo de veintiún (21) días hábiles 
posteriores al cierre del semestre, según lo requiere el 
artículo  39  de  la  Norma  que  establece  Disposiciones 
Generales  sobre  la  Información  que  deben  Remitir 
Periódicamente los Emisores y Participantes del Mercado 
de Valores”, emitida por el Consejo Nacional de Valores 
mediante la Tercera Resolución (R-CNV-2013-03-MV), de 
fecha veinticinco (25) del mes de enero del año dos mil trece 
(2013)","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2013-76-EV-S 
24/07/2013","BANCO MÚLTIPLE LEON, 
S.A.","▪  Remisión tardía de la Constancia de la Dirección General 
de  Impuestos  Internos  certificando  el  pago  de  la 
Liquidación de Impuestos sobre la Renta del último período 
fiscal.","Sanción Cualitativa 
Amonestación Verbal"
"R-SIV-2013-75-EV-S 
24/07/2013","BANCO NACIONAL DE 
FOMENTO 
DE LA VIVIENDA Y LA 
PRODUCCIÓN (BNV)","▪  Remisión tardía de la Declaración Jurada del Presidente o 
ejecutivo  principal  de  Finanzas,  estableciendo  que  se 
comprometen con la veracidad de los Estados Financieros 
anuales y de la Constancia de la Dirección General de","Sanción Cualitativa 
Amonestación Verbal"
"R-SIV-2014-34-EV-S 
07/08/2014","BANCO NACIONAL DE 
FOMENTO 
DE LA VIVIENDA Y LA 
PRODUCCIÓN (BNV)","▪  No remisión del reporte del pago de interés del Cupón No. 
18 del tramo II ejecutado en fecha 08 de abril del 2014, el 
cual tenía como fecha límite de remisión el 15 de abril de 
2014; y 2. No remisión del reporte del pago de interés y 
amortización del capital del Tramo I ejecutado en fecha 08 
de mayo del 2014 el cual tenía como fecha límite de remisión 
el 15 de mayo de 2014.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2014-56-EV-S 
05/12/2014","BANCO NACIONAL DE 
FOMENTO 
DE LA VIVIENDA Y LA 
PRODUCCIÓN (BNV)","▪  No  comunicación  como  hecho  relevante  a  la 
Superintendencia de la Convocatoria a la  Asamblea de 
Tenedores del Programa de Emisión de Letras Hipotecarias 
del Banco Nacional de la Vivienda y la Producción (BNV), 
registrada  bajo  el  No.SIVEM-018;  llevada  a  cabo  la 
celebración de la asamblea, el día veintiuno (21) del mes de 
julio del año dos mil catorce (2014).","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2016-06-IV-S 
10/02/2016","BELLBROKER PUESTO DE 
BOLSA, S.A.","▪  No  remisión  del  Informe  Anual  de  Auditoria  Externa, 
correspondiente al año 2014, el cual debió ser remitido en 
fecha 15 de mayo del 2015; 
▪  No  remisión  del  Informe  Anual  sobre  los  Métodos  y 
Procedimientos aplicados para la Prevención de Lavado de 
Activos correspondiente  al año 2014, el cual debió ser 
remitido en fecha 15 de mayo del 2015.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2013-123-AE-R      
11/11/2013","BDO AUDITORÍA, S.R.L.","▪  No remisión de los siguientes documentos: 1. Lista de socios 
con sus respectivas participaciones en montos, porcentajes y 
votos; certificadas, selladas y registradas en el Registro 
Mercantil a cargo de la Cámara de Comercio y Producción 
correspondiente; 2. Acta de Asamblea de socios del año 
2013, que conoce los estados financieros auditados 2012; 3. 
Constancia de la Dirección General de Impuestos Internos","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2017-54-AE-S 
13/12/17","BDO AUDITORÍA, S.R.L.","▪  Remisión Incorrecta del informe definitivo remitido por BDO 
en su calidad de representante de la masa de obligacionistas, 
a la Superintendencia de Valores mediante comunicación 
No. 54075 de fecha ocho (8) de febrero del año dos mil 
diecisiete (2017), debido a que estableció que Banco Popular 
Dominicano, S.A.  – Banco Múltiple,  utilizó fondos para 
cubrir  gastos  de  estructuración  y  colocación,  sin  hacer 
constar  la  contradicción  con  el  Prospecto  de  Emisión 
Definitivo y los Prospectos de Emisión Simplificados de los 
programas de emisiones de Bonos Corporativos de Deuda 
Subordinada (SIVEM-101) para las emisiones de la 1ra a la 
10ma, que estipulan que “todos los gastos relacionados a la 
estructuración  y  colocación  del  presente  programa  de 
emisiones serán cubiertos por cuenta propia del emisor”.","Sanción cuantitativa 
RD$50,000.00"
"R-SIV-2018-12-AE-S 
4/05/18","BDO AUDITORÍA, S.R.L.","Remisión  tardía  a  esta  Superintendencia  por  BDO 
Auditoria, S.R.L. en su calidad de representante de la masa 
de  obligacionistas,  del  Informe  sobre  el  Proceso  de 
Redención Anticipada, correspondiente a la Emisión IV de 
la  Oferta  Pública  No.  SIVEM-077,  ejecutada  por  la 
Compañía de Electricidad de Puerto Plata, S. A., en fecha 
trece (13) de noviembre de dos mil diecisiete (2017).","Sanción cuantitativa 
RD$50,000.00"
"R-SIV-2013-105-IV-S  
14/10/2013","BHD VALORES PUESTO DE 
BOLSA, S.A.","▪  No remisión del reporte de la Matriz Patrimonio y Garantía 
de Riesgo e Índices correspondiente al mes de abril 2013.","Sanción Cualitativa 
Amonestación Escrita"
"R-CNV-2013-48-IV         
27/12/2013","B HD VALORES PUESTO DE 
BOLSA, S.A.","▪  Remisión  inexacta  del  Estado  de  Cuenta  de  Valores  y 
Operaciones  del  mes  de  febrero  del  2011,  respecto  al 
Registro de los Títulos Valores objeto de Oferta Pública 
emitidos y no colocados, ya que los mismos no se encuentran 
registrados en su sistema contable.","Sanción Cuantitativa 
RD$50,000.00"
"R-SIMV-2019-19-IV-S 
10/06/2019","BHD LEÓN PUESTO  
DE BOLSA, S.A.","▪  Incumplimiento  de  la  obligación  de  incluir  los  montos 
correspondientes a fondos de inversiones en el cálculo de 
las partidas de ajuste del legal lending limit. 
 
▪  Incumplimiento por reportar una diferencia entre el monto 
presentado en la cartera en custodia y el registrado en el 
balance de comprobación.","Sanciones Cuantitativas 
RD$100,000.00"
"R-SIV-2017-41-IV-R 
12/10/2017","BITÁCORA VALORES 
PUESTO DE BOLSA, S.A.","▪  Incumplimiento ya que, al momento de la inspección, de una 
muestras  de  quince  (15)  expedientes,  no  se  encontró 
evidencia de la ficha de registro del cliente, denominada 
también Formulario Conozca a su cliente correspondientes 
al cliente identificado como C-BIT-03. 
▪  Incumplimiento del procedimiento de Debida Diligencia del 
Cliente (DDC) ya que, al momento de la inspección, de una 
muestra  de  quince  (15)  expedientes: (i)  No  se  encontró 
evidencia auditable de que se hayan adoptado las medidas 
necesarias para identificar a su cliente, beneficiario final, ni 
la  adopción  de  medidas  razonables  para  conocer  la 
estructura  de  propiedad  y  control  del  cliente,  en  el 
expediente correspondiente al cliente identificado como C-
BI-01; y (ii) No se encontraron los documentos societarios 
debidamente legalizados, en el expediente correspondiente 
al cliente identificado como C-BIT-03. 
▪  Incumplimiento ya que, al momento de la inspección, de una 
muestra  de  quince  (15)  expedientes,  no  se  encontró  el","Sanciones Cualitativas 
Amonestaciones Escritas"
"R-SIV-2017-55-IV-S 
13/12/2017","BITÁCORA VALORES 
PUESTO DE BOLSA, S.A.","▪  Remisión Inexacta de los Estados Financieros Semestrales 
correspondientes  al  período  comprendido  entre  julio-
diciembre del año 2015 por contener inexactitudes dentro del 
Balance General al 31 de diciembre de 2014 por no coincidir 
con los Estados Auditados del mismo período. 
▪  Remisión  inexacta  de  la  “Nota  13  Impuestos”  por  no 
contemplar las revelaciones exigidas dentro del numeral 
4.4.13 del Manual de Contabilidad y Plan de Cuentas”. 
▪  Remisión  Inexacta  de  la  “Nota  16  Patrimonio”  por  no 
revelar los Índices de Capital de Riesgo conforme estipula el 
Manual de Contabilidad y Plan de Cuentas.","Sanciones cualitativas 
Amonestaciones Escritas"
"R-SIV-2013-49-IV-S 
09/05/2013","BNVALORES PUESTO DE 
BOLSA, S.A.","▪  Remisión inexacta del Estado de la Matriz de Patrimonio y 
Garantía de Riesgos e índices, presentado una diferencia en 
el  Monto  Total  de  Activos  y  Operaciones  Contingentes 
Ponderados  y  en  el  Patrimonio  y  Garantías  de  Riesgo 
Primario. 
▪  Remisión Tardía de la Declaración Jurada de Solvencia, la 
cual fue recibida en fecha trece (13) de febrero del 2013, 
siendo la fecha limite el once (11) de febrero del 2013.","Sanción Cualitativa 
Amonestación Escrita"
"R-SIV-2013-101-IV-S    
02/10/2013","BNVALORES PUESTO DE 
BOLSA, S.A.","▪  Remisión tardía del Informe de Capacitación Anual del año 
2012, en fecha 17 de abril de 2013, debiendo ser remitido 
antes del 29 de marzo de 2013.","Sanción Cualitativa 
Amonestación Verbal"
"R-CNV-2013-50-IV         
27/12/2013","B  NVALORES PUESTO DE 
BOLSA, S.A.","▪  Remisión  inexacta  de  las  inversiones  en  títulos  valores 
presentadas  por  el  Puesto,  las  cuales  muestran  una 
diferencia de DOP 5,406,257.14 respecto a sus registros 
contables. 
▪  Remisión inexacta del Balance General Resumido remitido 
por el Puesto físicamente mostrando una diferencia en el","Sanción Cualitativa  y 
Cuantitativa 
Amonestación Verbal 
RD$300,000.00"
"R-SIV-2014-06-IV-R        
06/02/2014","B   NVALORES PUESTO DE 
BOLSA, S.A.","▪  Diferencias entre el reporte de las Inversiones en Títulos 
Valores de Deuda remitido por el puesto y el registro 
contable. 
▪  Diferencias en los saldos correspondientes al período 2011 
del Estado de Resultado de de los Estados Financieros al 
31 de diciembre de 2012 y 2011. 
▪  Diferencia en el Estado de Cambio de Patrimonio al 31 de 
diciembre  2012,  afectando  el  Balance  General  de  los 
estados financieros al 31 de diciembre de 2012 y 2011. 
▪  Diferencias entre los Estados Financieros Auditados al 31 
de diciembre de 2012 y los estados mensuales de diciembre 
2012 remitidos a la Superintendencia. 
▪  Diferencias entre la Nota 6, literal c) y la Nota 2 literal d) 
de los estados financieros, debido a que las Inversiones en 
Títulos Valores de Deuda Propia no están evaluadas al 
valor de mercado. 
▪  Diferencia  entre  el  cálculo  de  la  Declaración  Jurada 
presentada a la DGII y la revisión realizada del cálculo del 
ISR por los técnicos de la Superintendencia. 
▪  Diferencia  en  la  descripción  de  la  cuenta 
1.4.4.00.00.00.00.00.0  la  cual  no  corresponde  a  la 
disposición  del  catálogo  de  cuenta  establecido  en  el 
Capítulo IV del Manual de Contabilidad y Plan de Cuentas. 
▪   Diferencia en el balance de la Gestión Operativa al 31 de 
diciembre de 2012 del Balance General.","Sanción Cualitativa  y 
Cuantitativa 
Amonestación Escrita 
RD$100,000.00"
